ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached_on_Time_Y_N
2,F,Flight,4,5,216,2,low,M,59,3088,1
7,D,Flight,3,4,250,3,low,F,3,2371,1
8,F,Flight,4,1,233,2,low,F,48,2804,1
12,F,Flight,4,5,232,3,medium,F,32,3253,1
14,F,Flight,4,4,275,3,high,M,29,2602,1
16,B,Flight,4,3,227,3,low,F,45,2707,1
18,F,Ship,5,5,227,3,medium,M,36,3952,1
19,D,Ship,5,5,239,3,high,M,18,2495,1
22,B,Ship,3,1,232,4,medium,F,51,2899,1
24,F,Ship,4,3,211,3,high,M,12,3922,1
25,D,Ship,4,5,251,2,medium,F,28,3561,1
26,F,Ship,3,1,225,4,low,M,29,3496,1
29,C,Ship,2,3,234,4,low,M,44,3134,1
31,D,Ship,3,4,266,2,medium,F,38,2741,1
32,F,Ship,5,3,257,2,low,F,61,3341,1
33,A,Ship,3,1,223,3,low,F,22,3795,1
34,B,Ship,4,2,234,3,medium,M,4,3261,1
35,C,Ship,4,2,227,4,medium,F,22,2460,1
39,A,Ship,5,1,215,4,low,F,56,3905,1
40,B,Ship,4,2,269,5,low,F,45,2383,1
41,C,Ship,5,1,227,2,low,M,15,3798,1
50,F,Ship,5,3,216,3,low,F,40,2146,1
56,F,Ship,2,5,246,5,low,M,46,2437,1
57,A,Ship,3,3,238,3,low,F,61,3096,1
61,D,Ship,3,1,221,3,low,F,64,2794,1
65,C,Ship,4,5,261,2,high,M,49,3045,1
69,A,Ship,4,2,231,4,medium,F,6,2512,1
72,F,Ship,5,5,230,2,low,F,2,2229,1
73,D,Ship,5,5,232,3,medium,F,33,2998,1
74,F,Ship,4,5,215,3,medium,F,21,3984,1
75,A,Ship,6,1,238,6,low,F,13,2442,1
76,B,Ship,4,1,266,3,low,F,23,3775,1
79,D,Ship,3,4,223,3,low,M,18,3959,1
80,F,Ship,3,5,257,2,medium,F,56,3711,1
83,C,Ship,4,4,217,3,high,F,26,2875,1
88,B,Ship,6,2,278,3,medium,F,3,2974,1
89,C,Ship,3,3,229,3,low,M,49,2339,1
92,F,Ship,5,5,286,3,low,F,18,3163,1
